구분	프로젝트	파일	라인	멤버	호출_문맥	캡처_변수	실행_스레드	호출_시점	예외_전달	위험도	변경_방법
SwitchExpression	Drilling.Common	Drilling.Common/Log/CLogManager.cs	416	Drilling.Common.Log.CLogManager.ParseRecipeLine(string)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
SwitchExpression	Drilling.Common	Drilling.Common/Log/CLogManager.cs	579	Drilling.Common.Log.CLogManager.ModuleLogName(Drilling.Common.Interface.EN_EQP_MODULE)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
SwitchExpression	Drilling.Common	Drilling.Common/Log/CLogManager.cs	621	Drilling.Common.Log.CLogManager.TryReadSection(string, out Drilling.Common.Managers.EN_SETTING_TAB)	SimpleAssignmentExpression	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
ExpressionBody	Drilling.Common	Drilling.Common/Log/CProgramOpenLog.cs	7	Drilling.Common.Log.CProgramOpenLog.LogDirectory.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Log/CProgramOpenLog.cs	12	Drilling.Common.Log.CProgramOpenLog.LogPath.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Managers/CManager.cs	82	Drilling.Common.Managers.ST_POWER_METER_STATUS.Empty.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Managers/CManager.cs	329	Drilling.Common.Managers.CManager.ConfigRoot.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Managers/CManager.cs	394	Drilling.Common.Managers.CManager.Initialize(System.Threading.CancellationToken)	RunInitializeStep	this,cancellationToken	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Managers/CManager.cs	399	Drilling.Common.Managers.CManager.Initialize(System.Threading.CancellationToken)	RunInitializeStep	this,cancellationToken	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
ExpressionBody	Drilling.Common	Drilling.Common/Managers/CManager.cs	462	Drilling.Common.Managers.CManager.automation.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Managers/CManager.cs	780	Drilling.Common.Managers.CManager.GetMotionSimulationMode(bool?)	_interfaceManager              .GetInterfaceList(EN_EQP_MODULE.Motion)              .DefaultIfEmpty()              .All	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Managers/CManager.cs	789	Drilling.Common.Managers.CManager.GetScriptDirectory()	_settingFile              .Load(EN_SETTING_TAB.Option)              .GetAwaiter()              .GetResult()              .FirstOrDefault	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Managers/CSettingManager.cs	141	Drilling.Common.Managers.CSettingManager.GetValue(Drilling.Common.Managers.EN_SETTING_TAB, string, string, System.Threading.CancellationToken)	parameters.FirstOrDefault	name	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Managers/CSettingManager.cs	161	Drilling.Common.Managers.CSettingManager.SetValue(Drilling.Common.Managers.EN_SETTING_TAB, string, string, System.Threading.CancellationToken)	parameters              .Select	name,value,found	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
ExpressionBody	Drilling.Common	Drilling.Common/Motion/A3200/CA3200Motion.cs	14	Drilling.Common.Motion.CA3200Motion.CommandPrefix.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
SwitchExpression	Drilling.Common	Drilling.Common/Motion/ACS/CACSComm.cs	125	Drilling.Common.Motion.CACSComm.ExecuteACSFunction(ACS.SPiiPlusNET.Api, string)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
ExpressionBody	Drilling.Common	Drilling.Common/Motion/ACS/CACSMotion.cs	14	Drilling.Common.Motion.CACSMotion.CommandPrefix.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Motion/AJIN/CAjinMotion.cs	14	Drilling.Common.Motion.CAjinMotion.CommandPrefix.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	14	Drilling.Common.Motion.CMotionControllerTypeAttribute.ControllerNames.field	controllerNames          .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
ExpressionBody	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	36	Drilling.Common.Motion.CMotionController.PrimaryModule.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
SwitchExpression	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	140	Drilling.Common.Motion.CMotionController.BuildAxisCommand(Drilling.Common.Motion.ST_MOTOR_DATA, Drilling.Common.Motion.EN_MOTION_COMMAND, double)	EqualsValueClause	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	249	Drilling.Common.Motion.CMotionController.GetInterfaceData()	_interfaceManager              .GetInterfaceList(PrimaryModule)              .Where	this	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	250	Drilling.Common.Motion.CMotionController.GetInterfaceData()	_interfaceManager              .GetInterfaceList(PrimaryModule)              .Where(data => data.Number == DeviceNo)              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	260	Drilling.Common.Motion.CMotionController.GetInterfaceData()	_interfaceManager              .GetInterfaceList(EN_EQP_MODULE.Motion)              .Where	this	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionController.cs	261	Drilling.Common.Motion.CMotionController.GetInterfaceData()	_interfaceManager              .GetInterfaceList(EN_EQP_MODULE.Motion)              .Where(data => data.Number == DeviceNo)              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	234	Drilling.Common.Motion.CMotionManager.CMotionManager(Drilling.Common.Interface.IInterfaceManager?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?, bool)	_motors              .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	235	Drilling.Common.Motion.CMotionManager.CMotionManager(Drilling.Common.Interface.IInterfaceManager?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?, bool)	_motors              .Where(axis => axis.Use)              .ToDictionary	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	240	Drilling.Common.Motion.CMotionManager.CMotionManager(Drilling.Common.Interface.IInterfaceManager?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?, bool)	_axisData.Values              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	241	Drilling.Common.Motion.CMotionManager.CMotionManager(Drilling.Common.Interface.IInterfaceManager?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?, bool)	_io.Values.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	242	Drilling.Common.Motion.CMotionManager.CMotionManager(Drilling.Common.Interface.IInterfaceManager?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>?, System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?, bool)	_axisData.Values              .Select(axis => (axis.DevType, axis.DevNo))              .Concat(_io.Values.Select(channel => (channel.DevType, channel.DevNo)))              .GroupBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
ExpressionBody	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	256	Drilling.Common.Motion.CMotionManager.IsSimulation.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	256	Drilling.Common.Motion.CMotionManager.IsSimulation.get	_controllers.Values.All	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	267	Drilling.Common.Motion.CMotionManager.Initialize(System.Threading.CancellationToken)	_axisData.Values.GroupBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	320	Drilling.Common.Motion.CMotionManager.GetAxisStatus(System.Threading.CancellationToken)	_axes.Values              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	321	Drilling.Common.Motion.CMotionManager.GetAxisStatus(System.Threading.CancellationToken)	_axes.Values              .OrderBy(axis => axis.DisplayOrder)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	344	Drilling.Common.Motion.CMotionManager.GetIoStatus(System.Threading.CancellationToken)	_io.Values              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	345	Drilling.Common.Motion.CMotionManager.GetIoStatus(System.Threading.CancellationToken)	_io.Values              .OrderBy(channel => channel.DisplayOrder)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	360	Drilling.Common.Motion.CMotionManager.GetStationStatus(System.Threading.CancellationToken)	axes.ToDictionary	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	363	Drilling.Common.Motion.CMotionManager.GetStationStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	364	Drilling.Common.Motion.CMotionManager.GetStationStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy(axis => NormalizeStationName(axis.StationName))              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	365	Drilling.Common.Motion.CMotionManager.GetStationStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy(axis => NormalizeStationName(axis.StationName))              .OrderBy(group => group.Key, StringComparer.OrdinalIgnoreCase)              .Select	statusMap	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	368	lambda expression	group                      .Select	statusMap	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	371	lambda expression	group                      .Select(axis => statusMap.TryGetValue(NormalizeAxisId(axis.Name), out var status)                          ? status                          : null)                      .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	373	lambda expression	group                      .Select(axis => statusMap.TryGetValue(NormalizeAxisId(axis.Name), out var status)                          ? status                          : null)                      .Where(status => status is not null)                      .Cast<ST_MOTOR_AXIS_STATUS>()                      .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	378	lambda expression	group.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	378	lambda expression	group.Select(axis => axis.System).FirstOrDefault	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	379	lambda expression	stationAxes.Any	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	391	Drilling.Common.Motion.CMotionManager.GetControllerStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	392	Drilling.Common.Motion.CMotionManager.GetControllerStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy(axis => GetControllerKey(axis.DevType, axis.DevNo), StringComparer.OrdinalIgnoreCase)              .Select	this	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	397	lambda expression	group                      .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	398	lambda expression	group                      .Select(axis => NormalizeAxisId(axis.Name))                      .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	409	Drilling.Common.Motion.CMotionManager.GetControllerStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy(axis => GetControllerKey(axis.DevType, axis.DevNo), StringComparer.OrdinalIgnoreCase)              .Select(group =>              {                  var first = group.First();                  var registered = _controllers.TryGetValue(group.Key, out var controller);                  var axes = group                      .Select(axis => NormalizeAxisId(axis.Name))                      .OrderBy(axis => axis, StringComparer.OrdinalIgnoreCase)                      .ToArray();                    return new ST_MOTION_CONTROLLER_STATUS(                      NormalizeControllerName(first.DevType),                      first.DevNo,                      registered,                      controller?.IsSimulation() ?? true,                      axes.Length,                      axes);              })              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	410	Drilling.Common.Motion.CMotionManager.GetControllerStatus(System.Threading.CancellationToken)	_axisData.Values              .GroupBy(axis => GetControllerKey(axis.DevType, axis.DevNo), StringComparer.OrdinalIgnoreCase)              .Select(group =>              {                  var first = group.First();                  var registered = _controllers.TryGetValue(group.Key, out var controller);                  var axes = group                      .Select(axis => NormalizeAxisId(axis.Name))                      .OrderBy(axis => axis, StringComparer.OrdinalIgnoreCase)                      .ToArray();                    return new ST_MOTION_CONTROLLER_STATUS(                      NormalizeControllerName(first.DevType),                      first.DevNo,                      registered,                      controller?.IsSimulation() ?? true,                      axes.Length,                      axes);              })              .OrderBy(item => item.DevType, StringComparer.OrdinalIgnoreCase)              .ThenBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	814	Drilling.Common.Motion.CMotionManager.NormalizeMotors(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>?)	.Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	823	Drilling.Common.Motion.CMotionManager.CreateAxes(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>)	motors              .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	824	Drilling.Common.Motion.CMotionManager.CreateAxes(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>)	motors              .Where(axis => axis.Use)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	840	Drilling.Common.Motion.CMotionManager.CreateAxes(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_MOTOR_DATA>)	motors              .Where(axis => axis.Use)              .Select(axis =>              {                  var position = GetInitialPosition(axis.Name);                  return new ST_AXIS_STATE(                      NormalizeAxisId(axis.Name),                      string.IsNullOrWhiteSpace(axis.DisplayName) ? axis.Name : axis.DisplayName,                      position,                      position,                      position,                      true,                      true,                      false,                      false,                      false,                      axis.Axis);              })              .ToDictionary	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
SwitchExpression	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	901	Drilling.Common.Motion.CMotionManager.GetInitialPosition(string)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	942	Drilling.Common.Motion.CMotionManager.GetIoChannelOrThrow(string)	_io.Values              .Where	normalizedAddress	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	952	Drilling.Common.Motion.CMotionManager.GetIoChannelOrThrow(string)	_io.Values              .Where	normalizedName	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	967	Drilling.Common.Motion.CMotionManager.GetIoChannelOrThrow(string)	_io.Values.OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	980	Drilling.Common.Motion.CMotionManager.NormalizeIoName(string)	value              .Trim()              .ToUpperInvariant()              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	996	Drilling.Common.Motion.CMotionManager.CreateIo(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?)	(ioData ?? [])              .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	997	Drilling.Common.Motion.CMotionManager.CreateIo(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?)	(ioData ?? [])              .Where(channel => channel.Use)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	1007	Drilling.Common.Motion.CMotionManager.CreateIo(System.Collections.Generic.IReadOnlyList<Drilling.Common.Motion.ST_IO_DATA>?)	(ioData ?? [])              .Where(channel => channel.Use)              .Select(channel => new ST_IO_STATE(                  NormalizeIoName(channel.Id),                  NormalizeAddress(channel.Address),                  string.IsNullOrWhiteSpace(channel.Name) ? channel.Id : channel.Name.Trim(),                  channel.InitialState,                  channel.IsOutput,                  NormalizeControllerName(channel.DevType),                  channel.DevNo,                  channel.DisplayOrder,                  channel.Description))              .ToDictionary	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	1029	Drilling.Common.Motion.CMotionManager.LoadMotionControllerTypes()	typeof(CMotionController)              .Assembly              .GetTypes()              .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	1030	Drilling.Common.Motion.CMotionManager.LoadMotionControllerTypes()	typeof(CMotionController)              .Assembly              .GetTypes()              .Where(type => !type.IsAbstract && typeof(CMotionController).IsAssignableFrom(type))              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	1035	Drilling.Common.Motion.CMotionManager.LoadMotionControllerTypes()	typeof(CMotionController)              .Assembly              .GetTypes()              .Where(type => !type.IsAbstract && typeof(CMotionController).IsAssignableFrom(type))              .Select(type => new              {                  Type = type,                  Attribute = type.GetCustomAttribute<CMotionControllerTypeAttribute>()              })              .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	1036	Drilling.Common.Motion.CMotionManager.LoadMotionControllerTypes()	typeof(CMotionController)              .Assembly              .GetTypes()              .Where(type => !type.IsAbstract && typeof(CMotionController).IsAssignableFrom(type))              .Select(type => new              {                  Type = type,                  Attribute = type.GetCustomAttribute<CMotionControllerTypeAttribute>()              })              .Where(item => item.Attribute is not null && item.Attribute.ControllerNames.Count > 0)              .SelectMany	item	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Motion/CMotionManager.cs	1036	lambda expression	item.Attribute!.ControllerNames.Select	item	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
